"","X","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_Species","HierarchicalSubject","DateTime2","Date2"
"1",26,"C1T2P1","Conepatus leuconotus","28/03/2018 2:34:00","28/03/2018","2:34:50",0,0,0,0,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-28__02-34-50(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-03-28 02:34:00","2018-03-28"
"2",77,"C1T2P11","Conepatus leuconotus","01/03/2018 0:02:00","1/03/2018","0:02:37",0,0,0,0,"Imagenes_renombradas/C1T2P11","C1T2P11__2018-03-01__00-02-37(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-03-01 00:02:00","2018-03-01"
"3",78,"C1T2P11","Conepatus leuconotus","02/03/2018 5:03:00","2/03/2018","5:03:27",104447,1741,29,1.2,"Imagenes_renombradas/C1T2P11","C1T2P11__2018-03-02__05-03-27(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-03-02 05:03:00","2018-03-02"
"4",79,"C1T2P11","Conepatus leuconotus","22/03/2018 4:34:00","22/03/2018","4:34:17",1726247,28771,479.5,20,"Imagenes_renombradas/C1T2P11","C1T2P11__2018-03-22__04-34-17(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-03-22 04:34:00","2018-03-22"
"5",80,"C1T2P11","Conepatus leuconotus","04/04/2018 3:39:00","4/04/2018","3:39:20",1119899,18665,311.1,13,"Imagenes_renombradas/C1T2P11","C1T2P11__2018-04-04__03-39-20(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-04-04 03:39:00","2018-04-04"
"6",82,"C1T2P11","Odocoileus virginianus","26/03/2018 9:04:00","26/03/2018","9:04:02",0,0,0,0,"Imagenes_renombradas/C1T2P11","C1T2P11__2018-03-26__09-04-02(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-03-26 09:04:00","2018-03-26"
"7",83,"C1T2P11","Odocoileus virginianus","02/04/2018 7:30:00","2/04/2018","7:30:51",599206,9987,166.4,6.9,"Imagenes_renombradas/C1T2P11","C1T2P11__2018-04-02__07-30-51(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-04-02 07:30:00","2018-04-02"
"8",84,"C1T2P11","Odocoileus virginianus","14/04/2018 5:14:00","14/04/2018","5:14:32",1028621,17144,285.7,11.9,"Imagenes_renombradas/C1T2P11","C1T2P11__2018-04-14__05-14-32(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-04-14 05:14:00","2018-04-14"
"9",131,"C1T2P21","Conepatus leuconotus","15/04/2018 19:19:00","15/04/2018","19:19:09",0,0,0,0,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-04-15__19-19-09(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-04-15 19:19:00","2018-04-15"
"10",133,"C1T2P21","Odocoileus virginianus","26/01/2018 6:43:00","26/01/2018","6:43:46",0,0,0,0,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-01-26__06-43-46(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-01-26 06:43:00","2018-01-26"
"11",134,"C1T2P21","Odocoileus virginianus","05/02/2018 6:46:00","5/02/2018","6:46:39",864077,14401,240,10,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-02-05__06-46-39(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-02-05 06:46:00","2018-02-05"
"12",135,"C1T2P21","Odocoileus virginianus","05/02/2018 16:15:00","5/02/2018","16:15:06",33942,566,9.4,0.4,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-02-05__16-15-06(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-02-05 16:15:00","2018-02-05"
"13",136,"C1T2P21","Odocoileus virginianus","05/02/2018 18:01:00","5/02/2018","18:01:59",6409,107,1.8,0.1,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-02-05__18-01-59(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-02-05 18:01:00","2018-02-05"
"14",137,"C1T2P21","Odocoileus virginianus","21/02/2018 1:33:00","21/02/2018","1:33:31",1323089,22051,367.5,15.3,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-02-21__01-33-31(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-02-21 01:33:00","2018-02-21"
"15",138,"C1T2P21","Odocoileus virginianus","21/02/2018 6:56:00","21/02/2018","6:56:51",19270,321,5.3,0.2,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-02-21__06-56-51(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-02-21 06:56:00","2018-02-21"
"16",139,"C1T2P21","Odocoileus virginianus","14/03/2018 8:08:00","14/03/2018","8:08:14",1818489,30308,505.1,21,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-03-14__08-08-14(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-03-14 08:08:00","2018-03-14"
"17",140,"C1T2P21","Odocoileus virginianus","10/04/2018 3:06:00","10/04/2018","3:06:42",2314684,38578,643,26.8,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-04-10__03-06-42(2).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-04-10 03:06:00","2018-04-10"
"18",141,"C1T2P21","Odocoileus virginianus","16/04/2018 11:02:00","16/04/2018","11:02:18",546918,9115,151.9,6.3,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-04-16__11-02-18(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-04-16 11:02:00","2018-04-16"
"19",142,"C1T2P21","Odocoileus virginianus","20/04/2018 8:57:00","20/04/2018","8:57:21",338010,5634,93.9,3.9,"Imagenes_renombradas/C1T2P21","C1T2P21__2018-04-20__08-57-21(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-04-20 08:57:00","2018-04-20"
"20",167,"C1T4P1","Odocoileus virginianus","17/02/2018 17:06:00","17/02/2018","17:06:01",0,0,0,0,"Imagenes_renombradas/C1T4P1","C1T4P1__2018-02-17__17-06-01(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-02-17 17:06:00","2018-02-17"
"21",198,"C1T4P11","Conepatus leuconotus","24/01/2018 23:44:00","24/01/2018","23:44:36",0,0,0,0,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-01-24__23-44-36(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-01-24 23:44:00","2018-01-24"
"22",199,"C1T4P11","Conepatus leuconotus","15/02/2018 23:02:00","15/02/2018","23:02:50",1898291,31638,527.3,22,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-02-15__23-02-50(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-02-15 23:02:00","2018-02-15"
"23",200,"C1T4P11","Conepatus leuconotus","19/02/2018 21:35:00","19/02/2018","21:35:22",340349,5672,94.5,3.9,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-02-19__21-35-22(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-02-19 21:35:00","2018-02-19"
"24",201,"C1T4P11","Conepatus leuconotus","30/03/2018 21:42:00","30/03/2018","21:42:19",3370017,56167,936.1,39,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-03-30__21-42-19(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-03-30 21:42:00","2018-03-30"
"25",202,"C1T4P11","Conepatus leuconotus","03/04/2018 4:52:00","3/04/2018","4:52:55",285034,4751,79.2,3.3,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-04-03__04-52-55(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-04-03 04:52:00","2018-04-03"
"26",203,"C1T4P11","Conepatus leuconotus","07/04/2018 20:33:00","7/04/2018","20:33:48",402050,6701,111.7,4.7,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-04-07__20-33-48(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-04-07 20:33:00","2018-04-07"
"27",204,"C1T4P11","Conepatus leuconotus","19/04/2018 5:30:00","19/04/2018","5:30:16",982588,16376,272.9,11.4,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-04-19__05-30-16(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-04-19 05:30:00","2018-04-19"
"28",205,"C1T4P11","Conepatus leuconotus","21/04/2018 20:35:00","21/04/2018","20:35:42",227126,3785,63.1,2.6,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-04-21__20-35-42(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-04-21 20:35:00","2018-04-21"
"29",207,"C1T4P11","Odocoileus virginianus","28/01/2018 22:31:00","28/01/2018","22:31:11",0,0,0,0,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-01-28__22-31-11(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-01-28 22:31:00","2018-01-28"
"30",208,"C1T4P11","Odocoileus virginianus","10/02/2018 22:10:00","10/02/2018","22:10:26",1121796,18697,311.6,13,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-02-10__22-10-26(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-02-10 22:10:00","2018-02-10"
"31",209,"C1T4P11","Odocoileus virginianus","12/02/2018 4:00:00","12/02/2018","4:00:17",104595,1743,29.1,1.2,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-02-12__04-00-17(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-02-12 04:00:00","2018-02-12"
"32",210,"C1T4P11","Odocoileus virginianus","22/02/2018 22:55:00","22/02/2018","22:55:21",931670,15528,258.8,10.8,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-02-22__22-55-21(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-02-22 22:55:00","2018-02-22"
"33",211,"C1T4P11","Odocoileus virginianus","23/02/2018 0:02:00","23/02/2018","0:02:56",4013,67,1.1,0,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-02-23__00-02-56(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-02-23 00:02:00","2018-02-23"
"34",212,"C1T4P11","Odocoileus virginianus","15/03/2018 21:47:00","15/03/2018","21:47:29",1805736,30096,501.6,20.9,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-03-15__21-47-29(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-03-15 21:47:00","2018-03-15"
"35",213,"C1T4P11","Odocoileus virginianus","15/03/2018 23:07:00","15/03/2018","23:07:14",4552,76,1.3,0.1,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-03-15__23-07-14(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-03-15 23:07:00","2018-03-15"
"36",214,"C1T4P11","Odocoileus virginianus","04/04/2018 5:54:00","4/04/2018","5:54:58",1665897,27765,462.8,19.3,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-04-04__05-54-58(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-04-04 05:54:00","2018-04-04"
"37",215,"C1T4P11","Odocoileus virginianus","04/04/2018 11:40:00","4/04/2018","11:40:30",20688,345,5.8,0.2,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-04-04__11-40-30(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-04-04 11:40:00","2018-04-04"
"38",216,"C1T4P11","Odocoileus virginianus","05/04/2018 16:49:00","5/04/2018","16:49:53",104960,1749,29.1,1.2,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-04-05__16-49-53(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-04-05 16:49:00","2018-04-05"
"39",217,"C1T4P11","Odocoileus virginianus","11/04/2018 10:40:00","11/04/2018","10:40:43",496227,8270,137.8,5.7,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-04-11__10-40-43(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-04-11 10:40:00","2018-04-11"
"40",218,"C1T4P11","Odocoileus virginianus","16/04/2018 10:05:00","16/04/2018","10:05:34",429831,7164,119.4,5,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-04-16__10-05-34(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-04-16 10:05:00","2018-04-16"
"41",219,"C1T4P11","Pecari tajacu","02/04/2018 22:10:00","2/04/2018","22:10:34",0,0,0,0,"Imagenes_renombradas/C1T4P11","C1T4P11__2018-04-02__22-10-34(1).JPG","Pecari tajacu","Species|Pecari tajacu","2018-04-02 22:10:00","2018-04-02"
"42",286,"C1T6P1","Conepatus leuconotus","02/04/2018 3:30:00","2/04/2018","3:30:51",0,0,0,0,"Imagenes_renombradas/C1T6P1","C1T6P1__2018-04-02__03-30-51(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-04-02 03:30:00","2018-04-02"
"43",287,"C1T6P1","Conepatus leuconotus","05/04/2018 3:54:00","5/04/2018","3:54:02",260591,4343,72.4,3,"Imagenes_renombradas/C1T6P1","C1T6P1__2018-04-05__03-54-02(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-04-05 03:54:00","2018-04-05"
"44",288,"C1T6P1","Conepatus leuconotus","13/04/2018 0:10:00","13/04/2018","0:10:00",677756,11296,188.3,7.8,"Imagenes_renombradas/C1T6P1","C1T6P1__2018-04-13__00-10-00(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-04-13 00:10:00","2018-04-13"
"45",304,"C1T6P21","Odocoileus virginianus","23/03/2018 20:01:00","23/03/2018","20:01:33",0,0,0,0,"Imagenes_renombradas/C1T6P21","C1T6P21__2018-03-23__20-01-33(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-03-23 20:01:00","2018-03-23"
"46",305,"C1T6P21","Pecari tajacu","26/03/2018 22:30:00","26/03/2018","22:30:31",0,0,0,0,"Imagenes_renombradas/C1T6P21","C1T6P21__2018-03-26__22-30-31(1).JPG","Pecari tajacu","Species|Pecari tajacu","2018-03-26 22:30:00","2018-03-26"
"47",330,"C2T1P1","Odocoileus virginianus","06/07/2018 13:54:00","6/07/2018","13:54:34",0,0,0,0,"Imagenes_renombradas/C2T1P1","C2T1P1__2018-07-06__13-54-34(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-06 13:54:00","2018-07-06"
"48",331,"C2T1P1","Odocoileus virginianus","01/08/2018 21:05:00","1/08/2018","21:05:00",2272223,37870,631.2,26.3,"Imagenes_renombradas/C2T1P1","C2T1P1__2018-08-01__21-05-00(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-08-01 21:05:00","2018-08-01"
"49",332,"C2T1P1","Odocoileus virginianus","05/08/2018 12:39:00","5/08/2018","12:39:43",315283,5255,87.6,3.6,"Imagenes_renombradas/C2T1P1","C2T1P1__2018-08-05__12-39-43(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-08-05 12:39:00","2018-08-05"
"50",342,"C2T1P11","Odocoileus virginianus","21/07/2018 10:03:00","21/07/2018","10:03:20",0,0,0,0,"Imagenes_renombradas/C2T1P11","C2T1P11__2018-07-21__10-03-20(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-21 10:03:00","2018-07-21"
"51",343,"C2T1P11","Odocoileus virginianus","25/07/2018 5:28:00","25/07/2018","5:28:45",329070,5484,91.4,3.8,"Imagenes_renombradas/C2T1P11","C2T1P11__2018-07-25__05-28-45(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-25 05:28:00","2018-07-25"
"52",344,"C2T1P11","Pecari tajacu","26/06/2018 10:13:00","26/06/2018","10:13:45",0,0,0,0,"Imagenes_renombradas/C2T1P11","C2T1P11__2018-06-26__10-13-45(1).JPG","Pecari tajacu","Species|Pecari tajacu","2018-06-26 10:13:00","2018-06-26"
"53",349,"C2T1P21","Pecari tajacu","16/05/2018 21:41:00","16/05/2018","21:41:59",0,0,0,0,"Imagenes_renombradas/C2T1P21","C2T1P21__2018-05-16__21-41-59(1).JPG","Pecari tajacu","Species|Pecari tajacu","2018-05-16 21:41:00","2018-05-16"
"54",350,"C2T1P21","Pecari tajacu","29/05/2018 9:08:00","29/05/2018","9:08:59",1078018,17967,299.4,12.5,"Imagenes_renombradas/C2T1P21","C2T1P21__2018-05-29__09-08-59(1).JPG","Pecari tajacu","Species|Pecari tajacu","2018-05-29 09:08:00","2018-05-29"
"55",416,"C2T2P1","Odocoileus virginianus","02/05/2018 9:47:00","2/05/2018","9:47:03",0,0,0,0,"Imagenes_renombradas/C2T2P1","C2T2P1__2018-05-02__09-47-03(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-05-02 09:47:00","2018-05-02"
"56",417,"C2T2P1","Odocoileus virginianus","27/07/2018 3:52:00","27/07/2018","3:52:43",7409140,123486,2058.1,85.8,"Imagenes_renombradas/C2T2P1","C2T2P1__2018-07-27__03-52-43(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-27 03:52:00","2018-07-27"
"57",418,"C2T2P1","Odocoileus virginianus","30/07/2018 21:42:00","30/07/2018","21:42:30",323305,5388,89.8,3.7,"Imagenes_renombradas/C2T2P1","C2T2P1__2018-07-30__21-42-30(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-30 21:42:00","2018-07-30"
"58",419,"C2T2P1","Pecari tajacu","12/06/2018 6:54:00","12/06/2018","6:54:17",0,0,0,0,"Imagenes_renombradas/C2T2P1","C2T2P1__2018-06-12__06-54-17(1).JPG","Pecari tajacu","Species|Pecari tajacu","2018-06-12 06:54:00","2018-06-12"
"59",420,"C2T2P1","Pecari tajacu","14/06/2018 19:24:00","14/06/2018","19:24:42",217778,3630,60.5,2.5,"Imagenes_renombradas/C2T2P1","C2T2P1__2018-06-14__19-24-42(1).JPG","Pecari tajacu","Species|Pecari tajacu","2018-06-14 19:24:00","2018-06-14"
"60",538,"C2T2P21","Odocoileus virginianus","13/05/2018 8:10:00","13/05/2018","8:10:38",0,0,0,0,"Imagenes_renombradas/C2T2P21","C2T2P21__2018-05-13__08-10-38(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-05-13 08:10:00","2018-05-13"
"61",539,"C2T2P21","Odocoileus virginianus","23/06/2018 0:49:00","23/06/2018","0:49:10",3515891,58598,976.6,40.7,"Imagenes_renombradas/C2T2P21","C2T2P21__2018-06-23__00-49-10(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-06-23 00:49:00","2018-06-23"
"62",540,"C2T2P21","Odocoileus virginianus","03/07/2018 23:26:00","3/07/2018","23:26:38",945424,15757,262.6,10.9,"Imagenes_renombradas/C2T2P21","C2T2P21__2018-07-03__23-26-38(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-03 23:26:00","2018-07-03"
"63",541,"C2T2P21","Odocoileus virginianus","04/07/2018 2:03:00","4/07/2018","2:03:18",8602,143,2.4,0.1,"Imagenes_renombradas/C2T2P21","C2T2P21__2018-07-04__02-03-18(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-04 02:03:00","2018-07-04"
"64",542,"C2T2P21","Odocoileus virginianus","08/07/2018 1:02:00","8/07/2018","1:02:17",341938,5699,95,4,"Imagenes_renombradas/C2T2P21","C2T2P21__2018-07-08__01-02-17(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-08 01:02:00","2018-07-08"
"65",543,"C2T2P21","Pecari tajacu","19/06/2018 5:29:00","19/06/2018","5:29:33",0,0,0,0,"Imagenes_renombradas/C2T2P21","C2T2P21__2018-06-19__05-29-33(1).JPG","Pecari tajacu","Species|Pecari tajacu","2018-06-19 05:29:00","2018-06-19"
"66",567,"C2T3P1","Odocoileus virginianus","09/05/2018 8:13:00","9/05/2018","8:13:55",0,0,0,0,"Imagenes_renombradas/C2T3P1","C2T3P1__2018-05-09__08-13-55(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-05-09 08:13:00","2018-05-09"
"67",568,"C2T3P1","Odocoileus virginianus","28/06/2018 14:06:00","28/06/2018","14:06:29",4341123,72352,1205.9,50.2,"Imagenes_renombradas/C2T3P1","C2T3P1__2018-06-28__14-06-29(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-06-28 14:06:00","2018-06-28"
"68",569,"C2T3P1","Odocoileus virginianus","09/07/2018 16:29:00","9/07/2018","16:29:13",958964,15983,266.4,11.1,"Imagenes_renombradas/C2T3P1","C2T3P1__2018-07-09__16-29-13(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-09 16:29:00","2018-07-09"
"69",570,"C2T3P1","Odocoileus virginianus","14/07/2018 15:14:00","14/07/2018","15:14:59",427543,7126,118.8,5,"Imagenes_renombradas/C2T3P1","C2T3P1__2018-07-14__15-14-59(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-14 15:14:00","2018-07-14"
"70",571,"C2T3P1","Odocoileus virginianus","19/07/2018 6:50:00","19/07/2018","6:50:51",401749,6696,111.6,4.6,"Imagenes_renombradas/C2T3P1","C2T3P1__2018-07-19__06-50-51(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-19 06:50:00","2018-07-19"
"71",572,"C2T3P1","Pecari tajacu","14/06/2018 18:55:00","14/06/2018","18:55:10",0,0,0,0,"Imagenes_renombradas/C2T3P1","C2T3P1__2018-06-14__18-55-10(1).JPG","Pecari tajacu","Species|Pecari tajacu","2018-06-14 18:55:00","2018-06-14"
"72",589,"C2T3P11","Odocoileus virginianus","24/05/2018 19:10:00","24/05/2018","19:10:18",0,0,0,0,"Imagenes_renombradas/C2T3P11","C2T3P11__2018-05-24__19-10-18(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-05-24 19:10:00","2018-05-24"
"73",590,"C2T3P11","Odocoileus virginianus","13/07/2018 9:14:00","13/07/2018","9:14:44",4284262,71404,1190.1,49.6,"Imagenes_renombradas/C2T3P11","C2T3P11__2018-07-13__09-14-44(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-13 09:14:00","2018-07-13"
"74",591,"C2T3P11","Odocoileus virginianus","25/07/2018 13:14:00","25/07/2018","13:14:47",1051194,17520,292,12.2,"Imagenes_renombradas/C2T3P11","C2T3P11__2018-07-25__13-14-47(1).JPG","Odocoileus virginianus","Species|Odocoileus virginianus","2018-07-25 13:14:00","2018-07-25"
"75",609,"C2T3P21","Conepatus leuconotus","01/05/2018 3:43:00","1/05/2018","3:43:09",0,0,0,0,"Imagenes_renombradas/C2T3P21","C2T3P21__2018-05-01__03-43-09(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-05-01 03:43:00","2018-05-01"
